tract_id,ike_2020_mean,ike_2020_sem,ike_2020_ci_lo,ike_2020_ci_hi,ike_2030_mean,ike_2030_sem,ike_2030_ci_lo,ike_2030_ci_hi,ike_2040_mean,ike_2040_sem,ike_2040_ci_lo,ike_2040_ci_hi,fema33_2020_mean,fema33_2020_sem,fema33_2020_ci_lo,fema33_2020_ci_hi,fema33_2030_mean,fema33_2030_sem,fema33_2030_ci_lo,fema33_2030_ci_hi,fema33_2040_mean,fema33_2040_sem,fema33_2040_ci_lo,fema33_2040_ci_hi,fema36_2020_mean,fema36_2020_sem,fema36_2020_ci_lo,fema36_2020_ci_hi,fema36_2030_mean,fema36_2030_sem,fema36_2030_ci_lo,fema36_2030_ci_hi,fema36_2040_mean,fema36_2040_sem,fema36_2040_ci_lo,fema36_2040_ci_hi
22,0.00064307015,1.14179756e-10,0.0006430699,0.0006430704,0.00064307015,1.14179756e-10,0.0006430699,0.0006430704,0.00064307015,1.14179756e-10,0.0006430699,0.0006430704,0.00064307015,1.14179756e-10,0.0006430699,0.0006430704,0.00064307015,1.14179756e-10,0.0006430699,0.0006430704,0.00064307015,1.14179756e-10,0.0006430699,0.0006430704,0.00064307015,1.14179756e-10,0.0006430699,0.0006430704,0.00064307015,1.14179756e-10,0.0006430699,0.0006430704,0.00064307015,1.14179756e-10,0.0006430699,0.0006430704
23,0.32407507,0.0028863496,0.31841782,0.32973233,0.34762734,0.002717892,0.34230027,0.35295442,0.3597446,0.0027232822,0.35440698,0.36508223,0.3925927,0.0025142226,0.38766482,0.39752057,0.40898338,0.002399042,0.40428126,0.4136855,0.41629317,0.0023432528,0.4117004,0.42088595,0.49061096,0.0015812598,0.4875117,0.49371022,0.4967395,0.0015071116,0.49378556,0.49969345,0.50567156,0.0015642499,0.5026056,0.5087375
24,0.003774694,1.0754997e-09,0.0037746918,0.003774696,0.003774694,1.0754997e-09,0.0037746918,0.003774696,0.003774694,1.0754997e-09,0.0037746918,0.003774696,0.003774694,1.0754997e-09,0.0037746918,0.003774696,0.003774694,1.0754997e-09,0.0037746918,0.003774696,0.003774694,1.0754997e-09,0.0037746918,0.003774696,0.003774694,1.0754997e-09,0.0037746918,0.003774696,0.003774694,1.0754997e-09,0.0037746918,0.003774696,0.003774694,1.0754997e-09,0.0037746918,0.003774696
25,0.73084444,0.0054114424,0.72023803,0.74145085,0.6833193,0.006178753,0.6712089,0.6954296,0.698261,0.006014796,0.686472,0.71005005,0.7572226,0.004843744,0.7477288,0.76671636,0.7161331,0.0056891097,0.70498246,0.7272838,0.7224529,0.0055536646,0.7115677,0.73333806,0.8341124,0.0022936729,0.8296168,0.838608,0.82179654,0.0026666517,0.8165699,0.82702315,0.8239261,0.00266509,0.8187025,0.82914966
26,0.0006523123,2.3063078e-05,0.0006071087,0.0006975159,0.0013973124,5.4176373e-05,0.0012911267,0.0015034981,0.0011860073,4.8240043e-05,0.0010914567,0.0012805578,0.00068278314,2.561582e-05,0.0006325761,0.00073299016,0.0014561672,5.5627563e-05,0.0013471371,0.0015651972,0.0013572363,5.928459e-05,0.0012410386,0.001473434,0.00067427516,2.495152e-05,0.0006253702,0.0007231801,0.0014469745,5.5399298e-05,0.0013383918,0.0015555571,0.0012825141,5.129222e-05,0.0011819813,0.0013830469
27,0.027230248,0.0015737892,0.024145622,0.030314874,0.01441227,0.0007299657,0.012981537,0.015843002,0.010882793,0.00054754305,0.009809609,0.011955977,0.02939176,0.0016552685,0.026147434,0.032636087,0.0155773405,0.00078263384,0.014043378,0.017111303,0.011641782,0.0005757142,0.010513382,0.0127701815,0.05319958,0.0021929264,0.048901446,0.057497717,0.036123887,0.0013613104,0.03345572,0.038792055,0.035279825,0.0012316566,0.032865778,0.037693873
28,0.002383949,4.1988685e-10,0.002383948,0.00238395,0.002383949,4.1988685e-10,0.002383948,0.00238395,0.002383949,4.1988685e-10,0.002383948,0.00238395,0.002383949,4.1988685e-10,0.002383948,0.00238395,0.002383949,4.1988685e-10,0.002383948,0.00238395,0.002383949,4.1988685e-10,0.002383948,0.00238395,0.002383949,4.1988685e-10,0.002383948,0.00238395,0.002383949,4.1988685e-10,0.002383948,0.00238395,0.002383949,4.1988685e-10,0.002383948,0.00238395
29,0.0031972989,0.0003124531,0.0025848907,0.003809707,0.013526866,0.0006982873,0.012158223,0.014895509,0.010310659,0.00063689006,0.009062354,0.011558964,0.0037910321,0.000354506,0.0030962003,0.0044858637,0.014730963,0.00075862615,0.013244055,0.01621787,0.012661168,0.0007464954,0.011198037,0.014124299,0.0036338128,0.0003447812,0.0029580416,0.004309584,0.014563743,0.000750301,0.013093153,0.016034333,0.0119064655,0.0007222242,0.010490906,0.013322025
30,0.013273619,0.0005818325,0.012133228,0.014414011,0.012672967,0.0005534956,0.011588116,0.013757818,0.014734838,0.000552854,0.013651244,0.015818432,0.018947177,0.00071456586,0.017546628,0.020347726,0.016261337,0.0005586417,0.0151664,0.017356275,0.019527577,0.0005957192,0.018359967,0.020695187,0.052996133,0.0012244835,0.050596144,0.05539612,0.054609034,0.0011681685,0.052319422,0.056898646,0.061022118,0.0011885688,0.058692522,0.06335171
31,0.0087389,0.0005056064,0.007747911,0.009729888,0.008384314,0.0005289319,0.007347608,0.009421021,0.010796536,0.0005951826,0.009629978,0.011963094,0.028164757,0.0009757394,0.026252309,0.030077206,0.027585732,0.000988117,0.025649022,0.029522441,0.03030002,0.0010005597,0.028338922,0.032261115,0.04487588,0.0012683788,0.042389855,0.047361903,0.04492155,0.0012630619,0.04244595,0.04739715,0.047527283,0.0012424655,0.04509205,0.049962517
32,0.001816553,1.6184422e-05,0.0017848315,0.0018482744,0.0019344285,3.893624e-05,0.0018581134,0.0020107436,0.0024241635,0.00018762072,0.0020564268,0.0027919002,0.0018597499,2.9005108e-05,0.0018028999,0.0019165999,0.0021036726,0.000102580554,0.0019026147,0.0023047305,0.0027007456,0.0002026431,0.0023035652,0.003097926,0.002987393,0.000105099585,0.0027813977,0.0031933882,0.0027165727,0.00013116567,0.002459488,0.0029736573,0.004101104,0.00026910883,0.0035736507,0.0046285572
33,0.00079432287,5.06333e-05,0.0006950816,0.00089356414,0.00090556615,5.588038e-05,0.0007960406,0.0010150917,0.0009329685,5.7123478e-05,0.0008210065,0.0010449305,0.00083969097,5.2913205e-05,0.0007359811,0.00094340084,0.0010232289,6.051801e-05,0.0009046136,0.0011418442,0.0010965683,6.312169e-05,0.0009728498,0.0012202868,0.0008337028,5.26315e-05,0.000730545,0.00093686057,0.000987297,5.9126716e-05,0.0008714087,0.0011031854,0.0010218897,6.051855e-05,0.00090327335,0.0011405061
34,0.0008359585,1.3259584e-10,0.0008359583,0.00083595875,0.0008359585,1.3259584e-10,0.0008359583,0.00083595875,0.0008359585,1.3259584e-10,0.0008359583,0.00083595875,0.0008359585,1.3259584e-10,0.0008359583,0.00083595875,0.0008359585,1.3259584e-10,0.0008359583,0.00083595875,0.0008359585,1.3259584e-10,0.0008359583,0.00083595875,0.0008359585,1.3259584e-10,0.0008359583,0.00083595875,0.0008359585,1.3259584e-10,0.0008359583,0.00083595875,0.0008359585,1.3259584e-10,0.0008359583,0.00083595875
35,0.000882035,5.205523e-07,0.00088101474,0.00088305527,0.0009216162,1.6098702e-05,0.0008900628,0.00095316966,0.0009539693,3.0347152e-05,0.0008944889,0.0010134497,0.0008824261,5.8954004e-07,0.0008812706,0.0008835816,0.00095738313,3.1148025e-05,0.000896333,0.0010184332,0.0009583536,3.114883e-05,0.0008973019,0.0010194053,0.000882035,5.205523e-07,0.00088101474,0.00088305527,0.0009281069,1.720752e-05,0.00089438015,0.00096183363,0.00095794926,3.1148444e-05,0.00089689833,0.0010190002
36,0.003524412,0.00045102552,0.002640402,0.004408422,0.0025451023,0.0003066904,0.0019439891,0.0031462153,0.0034285071,0.00033923486,0.0027636068,0.0040934077,0.0066876872,0.0006509999,0.0054117274,0.007963647,0.0055414923,0.0005408585,0.0044814097,0.006601575,0.005410333,0.00049595523,0.004438261,0.0063824053,0.008431695,0.00073261885,0.0069957627,0.009867628,0.006818125,0.00061009306,0.0056223427,0.008013908,0.006815734,0.0005588398,0.0057204077,0.00791106
37,0.0004821656,1.1233814e-10,0.00048216537,0.00048216584,0.0004821656,1.1233814e-10,0.00048216537,0.00048216584,0.0004821656,1.1233814e-10,0.00048216537,0.00048216584,0.0004821656,1.1233814e-10,0.00048216537,0.00048216584,0.0004821656,1.1233814e-10,0.00048216537,0.00048216584,0.0004821656,1.1233814e-10,0.00048216537,0.00048216584,0.0004821656,1.1233814e-10,0.00048216537,0.00048216584,0.0004821656,1.1233814e-10,0.00048216537,0.00048216584,0.0004821656,1.1233814e-10,0.00048216537,0.00048216584
38,0.0014882188,5.8562777e-10,0.0014882176,0.00148822,0.0014882188,5.8562777e-10,0.0014882176,0.00148822,0.0014882188,5.8562777e-10,0.0014882176,0.00148822,0.0014882188,5.8562777e-10,0.0014882176,0.00148822,0.0014882188,5.8562777e-10,0.0014882176,0.00148822,0.0014882188,5.8562777e-10,0.0014882176,0.00148822,0.0014882188,5.8562777e-10,0.0014882176,0.00148822,0.0014882188,5.8562777e-10,0.0014882176,0.00148822,0.0014882188,5.8562777e-10,0.0014882176,0.00148822
